site	device	port	iftype	netbox_description	far_device	far_port	far_role	class	mbps	expected	len	note
CH-STA-L42	CH-STA-L42-L04-DIST01	1	1000base-t	L04-ACCE01_p47	CH-STA-L42-L04-ACCE01	47	Switch Access	USW	1000	USW-1G-L04-AC01_P47	19	
CH-STA-L42	CH-STA-L42-L04-DIST01	2	1000base-t	L04-ACCE01_p48	CH-STA-L42-L04-ACCE01	48	Switch Access	USW	1000	USW-1G-L04-AC01_P48	19	
CH-STA-L42	CH-STA-L42-L04-DIST01	23	1000base-x-sfp	L04-CORE_p1:5	CH-STA-L42-CORE01-1	01:05	Switch Core	USW	1000	USW-1G-CO01-1_P1_5	18	
CH-STA-L42	CH-STA-L42-L04-DIST01	24	1000base-x-sfp	L04-CORE_p2:5	CH-STA-L42-CORE01-2	02:05	Switch Core	USW	1000	USW-1G-CO01-2_P2_5	18	
CH-STA-L42	CH-STA-L42-L04-DIST01	3	1000base-t	L04-ACCE02_p23	CH-STA-L42-L04-ACCE02	23	Switch Access	USW	1000	USW-1G-L04-AC02_P23	19	
CH-STA-L42	CH-STA-L42-L04-DIST01	4	1000base-t	L04-ACCE02_p24	CH-STA-L42-L04-ACCE02	24	Switch Access	USW	1000	USW-1G-L04-AC02_P24	19	
CH-STA-L44	CH-STA-L44-B01-ACCE02	24	1000base-t	UPLINK	CH-STA-L44-GFL-DIST02	21	Switch Dist	USW	1000	USW-1G-GFL-DI02_P21	19	
CH-STA-L44	CH-STA-L44-GFL-ACCE01	1	1000base-t	GFL-ACPO01	CH-STA-L44-GFL-ACPO01	mgmt0	Access Point	UP	1000	UP-GFL-AP01	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE01	2	1000base-t	GFL-ACPO02	CH-STA-L44-GFL-ACPO02	mgmt0	Access Point	UP	1000	UP-GFL-AP02	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE01	24	1000base-t	UPLINK	CH-STA-L44-GFL-DIST01	1	Switch Dist	USW	1000	USW-1G-GFL-DI01_P1	18	
CH-STA-L44	CH-STA-L44-GFL-ACCE01	3	1000base-t	GFL-ACPO03	CH-STA-L44-GFL-ACPO03	mgmt0	Access Point	UP	1000	UP-GFL-AP03	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE01	4	1000base-t	GFL-ACPO04	CH-STA-L44-GFL-ACPO04	mgmt0	Access Point	UP	1000	UP-GFL-AP04	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE01	5	1000base-t	GFL-ACPO05	CH-STA-L44-GFL-ACPO05	mgmt0	Access Point	UP	1000	UP-GFL-AP05	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE01	6	1000base-t	B01-ACPO01	CH-STA-L44-B01-ACPO01	mgmt0	Access Point	UP	1000	UP-B01-AP01	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE01	7	1000base-t	GFL-ACPO07	CH-STA-L44-GFL-ACPO07	mgmt0	Access Point	UP	1000	UP-GFL-AP07	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE02	10	1000base-t	B01-ACPO03	CH-STA-L44-B01-ACPO03	mgmt0	Access Point	UP	1000	UP-B01-AP03	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE02	11	1000base-t	B01-ACPO02	CH-STA-L44-B01-ACPO02	mgmt0	Access Point	UP	1000	UP-B01-AP02	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE02	12	1000base-t	B01-ACPO04	CH-STA-L44-B01-ACPO04	mgmt0	Access Point	UP	1000	UP-B01-AP04	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE02	24	1000base-t	UPLINK	CH-STA-L44-GFL-DIST02	1	Switch Dist	USW	1000	USW-1G-GFL-DI02_P1	18	
CH-STA-L44	CH-STA-L44-GFL-ACCE02	6	1000base-t	GFL-ACPO06	CH-STA-L44-GFL-ACPO06	mgmt0	Access Point	UP	1000	UP-GFL-AP06	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE02	8	1000base-t	GFL-ACPO08	CH-STA-L44-GFL-ACPO08	mgmt0	Access Point	UP	1000	UP-GFL-AP08	11	
CH-STA-L44	CH-STA-L44-GFL-ACCE03	24	1000base-t		CH-STA-L44-GFL-DIST01	2	Switch Dist	USW	1000	USW-1G-GFL-DI01_P2	18	
CH-STA-L44	CH-STA-L44-GFL-ACCE04	24	1000base-t		CH-STA-L44-GFL-DIST02	2	Switch Dist	USW	1000	USW-1G-GFL-DI02_P2	18	
CH-STA-L44	CH-STA-L44-GFL-ACCE05	48	1000base-t	GFL-DIST01_p3	CH-STA-L44-GFL-DIST01	3	Switch Dist	USW	1000	USW-1G-GFL-DI01_P3	18	
CH-STA-L44	CH-STA-L44-GFL-ACCE06	24	1000base-t	GFL-DIST01_p4	CH-STA-L44-GFL-DIST01	4	Switch Dist	USW	1000	USW-1G-GFL-DI01_P4	18	
CH-STA-L44	CH-STA-L44-GFL-ACCE07	24	1000base-t	GFL-DIST02_p3	CH-STA-L44-GFL-DIST02	3	Switch Dist	USW	1000	USW-1G-GFL-DI02_P3	18	
CH-STA-L44	CH-STA-L44-GFL-ACCE08	48	1000base-t	GFL-DIST02_p4	CH-STA-L44-GFL-DIST02	4	Switch Dist	USW	1000	USW-1G-GFL-DI02_P4	18	
CH-STA-L44	CH-STA-L44-GFL-DIST01	1	1000base-t	GFL-ACCE01_p24	CH-STA-L44-GFL-ACCE01	24	Switch Access	USW	1000	USW-1G-GFL-AC01_P24	19	
CH-STA-L44	CH-STA-L44-GFL-DIST01	2	1000base-t	GFL-ACCE03_p24	CH-STA-L44-GFL-ACCE03	24	Switch Access	USW	1000	USW-1G-GFL-AC03_P24	19	
CH-STA-L44	CH-STA-L44-GFL-DIST01	29	10gbase-x-sfpp	L02-CORE01	CH-STA-L44-L02-CORE01-1	01:02	Switch Core	USW	10000	USW-L02-CO01-1_P1_2	19	
CH-STA-L44	CH-STA-L44-GFL-DIST01	3	1000base-t	GFL-ACCE05_p24	CH-STA-L44-GFL-ACCE05	48	Switch Access	USW	1000	USW-1G-GFL-AC05_P48	19	
CH-STA-L44	CH-STA-L44-GFL-DIST01	30	10gbase-x-sfpp	L02-CORE02	CH-STA-L44-L02-CORE01-2	02:02	Switch Core	USW	10000	USW-L02-CO01-2_P2_2	19	
CH-STA-L44	CH-STA-L44-GFL-DIST01	4	1000base-t	GFL-ACCE06_p24	CH-STA-L44-GFL-ACCE06	24	Switch Access	USW	1000	USW-1G-GFL-AC06_P24	19	
CH-STA-L44	CH-STA-L44-GFL-DIST02	1	1000base-t	GFL-ACCE02_p24	CH-STA-L44-GFL-ACCE02	24	Switch Access	USW	1000	USW-1G-GFL-AC02_P24	19	
CH-STA-L44	CH-STA-L44-GFL-DIST02	2	1000base-t	GFL-ACCE04_p24	CH-STA-L44-GFL-ACCE04	24	Switch Access	USW	1000	USW-1G-GFL-AC04_P24	19	
CH-STA-L44	CH-STA-L44-GFL-DIST02	21	1000base-t	B01-ACCE01_p24	CH-STA-L44-B01-ACCE02	24	Switch Access	USW	1000	USW-1G-B01-AC02_P24	19	
CH-STA-L44	CH-STA-L44-GFL-DIST02	29	10gbase-x-sfpp	L02-CORE01	CH-STA-L44-L02-CORE01-1	01:03	Switch Core	USW	10000	USW-L02-CO01-1_P1_3	19	
CH-STA-L44	CH-STA-L44-GFL-DIST02	3	1000base-t	GFL-ACCE07_p24	CH-STA-L44-GFL-ACCE07	24	Switch Access	USW	1000	USW-1G-GFL-AC07_P24	19	
CH-STA-L44	CH-STA-L44-GFL-DIST02	30	10gbase-x-sfpp	L02-CORE02	CH-STA-L44-L02-CORE01-2	02:03	Switch Core	USW	10000	USW-L02-CO01-2_P2_3	19	
CH-STA-L44	CH-STA-L44-GFL-DIST02	4	1000base-t	GFL-ACCE08_p48	CH-STA-L44-GFL-ACCE08	48	Switch Access	USW	1000	USW-1G-GFL-AC08_P48	19	
CH-STA-L44	CH-STA-L44-L01-ACCE01	2	1000base-t	L01-ACPO02	CH-STA-L44-L01-ACPO02	mgmt0	Access Point	UP	1000	UP-L01-AP02	11	
CH-STA-L44	CH-STA-L44-L01-ACCE01	24	1000base-t		CH-STA-L44-L01-DIST01	1	Switch Dist	USW	1000	USW-1G-L01-DI01_P1	18	
CH-STA-L44	CH-STA-L44-L01-ACCE01	3	1000base-t	L01-ACPO03	CH-STA-L44-L01-ACPO03	mgmt0	Access Point	UP	1000	UP-L01-AP03	11	
CH-STA-L44	CH-STA-L44-L01-ACCE01	5	1000base-t	L01-ACPO05	CH-STA-L44-L01-ACPO05	mgmt0	Access Point	UP	1000	UP-L01-AP05	11	
CH-STA-L44	CH-STA-L44-L01-ACCE01	6	1000base-t	L01-ACPO06	CH-STA-L44-L01-ACPO06	mgmt0	Access Point	UP	1000	UP-L01-AP06	11	
CH-STA-L44	CH-STA-L44-L01-ACCE01	9	1000base-t	GFL-ACPO09	CH-STA-L44-GFL-ACPO09	mgmt0	Access Point	UP	1000	UP-GFL-AP09	11	
CH-STA-L44	CH-STA-L44-L01-ACCE02	1	1000base-t	L01-ACPO01	CH-STA-L44-L01-ACPO01	mgmt0	Access Point	UP	1000	UP-L01-AP01	11	
CH-STA-L44	CH-STA-L44-L01-ACCE02	2	1000base-t	L01-ACPO11	CH-STA-L44-L01-ACPO11	mgmt0	Access Point	UP	1000	UP-L01-AP11	11	
CH-STA-L44	CH-STA-L44-L01-ACCE02	23	1000base-t	L01-DIST02	CH-STA-L44-L01-DIST02	2	Switch Dist	USW	1000	USW-1G-L01-DI02_P2	18	
CH-STA-L44	CH-STA-L44-L01-ACCE02	24	1000base-t	L01-DIST02	CH-STA-L44-L01-DIST02	1	Switch Dist	USW	1000	USW-1G-L01-DI02_P1	18	
CH-STA-L44	CH-STA-L44-L01-ACCE02	3	1000base-t	L01-ACPO07	CH-STA-L44-L01-ACPO07	mgmt0	Access Point	UP	1000	UP-L01-AP07	11	
CH-STA-L44	CH-STA-L44-L01-ACCE02	4	1000base-t	L01-ACPO04	CH-STA-L44-L01-ACPO04	mgmt0	Access Point	UP	1000	UP-L01-AP04	11	
CH-STA-L44	CH-STA-L44-L01-ACCE02	5	1000base-t	L01-ACPO09	CH-STA-L44-L01-ACPO09	mgmt0	Access Point	UP	1000	UP-L01-AP09	11	
CH-STA-L44	CH-STA-L44-L01-ACCE02	6	1000base-t	L01-ACPO10	CH-STA-L44-L01-ACPO10	mgmt0	Access Point	UP	1000	UP-L01-AP10	11	
CH-STA-L44	CH-STA-L44-L01-ACCE02	7	1000base-t	L01-ACPO12	CH-STA-L44-L01-ACPO12	mgmt0	Access Point	UP	1000	UP-L01-AP12	11	
CH-STA-L44	CH-STA-L44-L01-ACCE03	48	1000base-t		CH-STA-L44-L01-DIST01	2	Switch Dist	USW	1000	USW-1G-L01-DI01_P2	18	
CH-STA-L44	CH-STA-L44-L01-ACCE04	48	1000base-t		CH-STA-L44-L01-DIST01	3	Switch Dist	USW	1000	USW-1G-L01-DI01_P3	18	
CH-STA-L44	CH-STA-L44-L01-ACCE05	23	1000base-t	L01_DIST02	CH-STA-L44-L01-DIST02	4	Switch Dist	USW	1000	USW-1G-L01-DI02_P4	18	
CH-STA-L44	CH-STA-L44-L01-ACCE05	24	1000base-t	L01_DIST02	CH-STA-L44-L01-DIST02	3	Switch Dist	USW	1000	USW-1G-L01-DI02_P3	18	
CH-STA-L44	CH-STA-L44-L01-ACCE06	23	1000base-x-sfp		CH-STA-L44-L02-CORE01-1	01:09	Switch Core	USW	1000	USW-1G-L02-CO01_P1_9	20	at-20
CH-STA-L44	CH-STA-L44-L01-ACCE07	23	1000base-t	L01-DIST02	CH-STA-L44-L01-DIST02	6	Switch Dist	USW	1000	USW-1G-L01-DI02_P6	18	
CH-STA-L44	CH-STA-L44-L01-ACCE07	24	1000base-t	L01-DIST02	CH-STA-L44-L01-DIST02	5	Switch Dist	USW	1000	USW-1G-L01-DI02_P5	18	
CH-STA-L44	CH-STA-L44-L01-ACCE08	23	1000base-t	L01-DIST02	CH-STA-L44-L01-DIST02	7	Switch Dist	USW	1000	USW-1G-L01-DI02_P7	18	
CH-STA-L44	CH-STA-L44-L01-ACCE08	24	1000base-t	L01-DIST02	CH-STA-L44-L01-DIST02	8	Switch Dist	USW	1000	USW-1G-L01-DI02_P8	18	
CH-STA-L44	CH-STA-L44-L01-DIST01	1	1000base-t	L01-ACCE01_p24	CH-STA-L44-L01-ACCE01	24	Switch Access	USW	1000	USW-1G-L01-AC01_P24	19	
CH-STA-L44	CH-STA-L44-L01-DIST01	2	1000base-t	L01-ACCE03_p48	CH-STA-L44-L01-ACCE03	48	Switch Access	USW	1000	USW-1G-L01-AC03_P48	19	
CH-STA-L44	CH-STA-L44-L01-DIST01	29	10gbase-x-sfpp	L02-CORE01	CH-STA-L44-L02-CORE01-1	01:04	Switch Core	USW	10000	USW-L02-CO01-1_P1_4	19	
CH-STA-L44	CH-STA-L44-L01-DIST01	3	1000base-t	L01-ACCE04_p48	CH-STA-L44-L01-ACCE04	48	Switch Access	USW	1000	USW-1G-L01-AC04_P48	19	
CH-STA-L44	CH-STA-L44-L01-DIST01	30	10gbase-x-sfpp	L02-CORE02	CH-STA-L44-L02-CORE01-2	02:04	Switch Core	USW	10000	USW-L02-CO01-2_P2_4	19	
CH-STA-L44	CH-STA-L44-L01-DIST02	1	1000base-t	ACCE02_p24	CH-STA-L44-L01-ACCE02	24	Switch Access	USW	1000	USW-1G-L01-AC02_P24	19	
CH-STA-L44	CH-STA-L44-L01-DIST02	2	1000base-t	ACCE05_p24	CH-STA-L44-L01-ACCE02	23	Switch Access	USW	1000	USW-1G-L01-AC02_P23	19	
CH-STA-L44	CH-STA-L44-L01-DIST02	23	1000base-x-sfp	L02-CORE01	CH-STA-L44-L02-CORE01-2	02:05	Switch Core	USW	1000	USW-1G-L02-CO01_P2_5	20	at-20
CH-STA-L44	CH-STA-L44-L01-DIST02	24	1000base-x-sfp	L02-CORE01	CH-STA-L44-L02-CORE01-1	01:05	Switch Core	USW	1000	USW-1G-L02-CO01_P1_5	20	at-20
CH-STA-L44	CH-STA-L44-L01-DIST02	3	1000base-t	L01-ACCE05	CH-STA-L44-L01-ACCE05	24	Switch Access	USW	1000	USW-1G-L01-AC05_P24	19	
CH-STA-L44	CH-STA-L44-L01-DIST02	4	1000base-t	L01-ACCE05	CH-STA-L44-L01-ACCE05	23	Switch Access	USW	1000	USW-1G-L01-AC05_P23	19	
CH-STA-L44	CH-STA-L44-L01-DIST02	5	1000base-t	L01-ACCE07	CH-STA-L44-L01-ACCE07	24	Switch Access	USW	1000	USW-1G-L01-AC07_P24	19	
CH-STA-L44	CH-STA-L44-L01-DIST02	6	1000base-t	L01-ACCE07	CH-STA-L44-L01-ACCE07	23	Switch Access	USW	1000	USW-1G-L01-AC07_P23	19	
CH-STA-L44	CH-STA-L44-L01-DIST02	7	1000base-t	L01-ACCE08	CH-STA-L44-L01-ACCE08	23	Switch Access	USW	1000	USW-1G-L01-AC08_P23	19	
CH-STA-L44	CH-STA-L44-L01-DIST02	8	1000base-t	L01-ACCE08	CH-STA-L44-L01-ACCE08	24	Switch Access	USW	1000	USW-1G-L01-AC08_P24	19	
CH-STA-L44	CH-STA-L44-L02-ACCE01	1	1000base-t		CH-STA-L44-L02-ACPO01	mgmt0	Access Point	UP	1000	UP-L02-AP01	11	
CH-STA-L44	CH-STA-L44-L02-ACCE01	14	1000base-t		CH-STA-L44-L02-ACPO12	mgmt0	Access Point	UP	1000	UP-L02-AP12	11	
CH-STA-L44	CH-STA-L44-L02-ACCE01	2	1000base-t		CH-STA-L44-L02-ACPO02	mgmt0	Access Point	UP	1000	UP-L02-AP02	11	
CH-STA-L44	CH-STA-L44-L02-ACCE01	24	1000base-t	L02-DIST01_p1	CH-STA-L44-L02-DIST01	1	Switch Dist	USW	1000	USW-1G-L02-DI01_P1	18	
CH-STA-L44	CH-STA-L44-L02-ACCE01	3	1000base-t		CH-STA-L44-L02-ACPO03	mgmt0	Access Point	UP	1000	UP-L02-AP03	11	
CH-STA-L44	CH-STA-L44-L02-ACCE01	4	1000base-t		CH-STA-L44-L02-ACPO04	mgmt0	Access Point	UP	1000	UP-L02-AP04	11	
CH-STA-L44	CH-STA-L44-L02-ACCE01	8	1000base-t		CH-STA-L44-L02-ACPO08	mgmt0	Access Point	UP	1000	UP-L02-AP08	11	
CH-STA-L44	CH-STA-L44-L02-ACCE02	10	1000base-t		CH-STA-L44-L02-ACPO10	mgmt0	Access Point	UP	1000	UP-L02-AP10	11	
CH-STA-L44	CH-STA-L44-L02-ACCE02	14	1000base-t		CH-STA-L44-L02-ACPO13	mgmt0	Access Point	UP	1000	UP-L02-AP13	11	
CH-STA-L44	CH-STA-L44-L02-ACCE02	24	1000base-t	UPLINK	CH-STA-L44-L02-DIST02	1	Switch Dist	USW	1000	USW-1G-L02-DI02_P1	18	
CH-STA-L44	CH-STA-L44-L02-ACCE02	5	1000base-t		CH-STA-L44-L02-ACPO05	mgmt0	Access Point	UP	1000	UP-L02-AP05	11	
CH-STA-L44	CH-STA-L44-L02-ACCE02	6	1000base-t		CH-STA-L44-L02-ACPO06	mgmt0	Access Point	UP	1000	UP-L02-AP06	11	
CH-STA-L44	CH-STA-L44-L02-ACCE02	7	1000base-t		CH-STA-L44-L02-ACPO07	mgmt0	Access Point	UP	1000	UP-L02-AP07	11	
CH-STA-L44	CH-STA-L44-L02-ACCE02	9	1000base-t		CH-STA-L44-L02-ACPO09	mgmt0	Access Point	UP	1000	UP-L02-AP09	11	
CH-STA-L44	CH-STA-L44-L02-ACCE03	29	1000base-x-sfp	CORE_p1:8	CH-STA-L44-L02-CORE01-1	01:08	Switch Core	USW	1000	USW-1G-L02-CO01_P1_8	20	at-20
CH-STA-L44	CH-STA-L44-L02-ACCE03	30	1000base-x-sfp	CORE_p2:8	CH-STA-L44-L02-CORE01-2	02:08	Switch Core	USW	1000	USW-1G-L02-CO01_P2_8	20	at-20
CH-STA-L44	CH-STA-L44-L02-ACCE05	48	1000base-t	L02-DIST01_p2	CH-STA-L44-L02-DIST01	2	Switch Dist	USW	1000	USW-1G-L02-DI01_P2	18	
CH-STA-L44	CH-STA-L44-L02-ACCE06	24	1000base-t	L02-DIST01_p3	CH-STA-L44-L02-DIST01	3	Switch Dist	USW	1000	USW-1G-L02-DI01_P3	18	
CH-STA-L44	CH-STA-L44-L02-ACCE07	24	1000base-t	L02-DIST01_p4	CH-STA-L44-L02-DIST01	4	Switch Dist	USW	1000	USW-1G-L02-DI01_P4	18	
CH-STA-L44	CH-STA-L44-L02-ACCE08	24	1000base-t	L02-DIST01_p5	CH-STA-L44-L02-DIST01	5	Switch Dist	USW	1000	USW-1G-L02-DI01_P5	18	
CH-STA-L44	CH-STA-L44-L02-ACCE09	24	1000base-t	L02-DIST01_p6	CH-STA-L44-L02-DIST01	6	Switch Dist	USW	1000	USW-1G-L02-DI01_P6	18	
CH-STA-L44	CH-STA-L44-L02-ACCE10	24	1000base-t	L02-DIST02_p2	CH-STA-L44-L02-DIST02	2	Switch Dist	USW	1000	USW-1G-L02-DI02_P2	18	
CH-STA-L44	CH-STA-L44-L02-ACCE11	24	1000base-t	L02-DIST02_p3	CH-STA-L44-L02-DIST02	3	Switch Dist	USW	1000	USW-1G-L02-DI02_P3	18	
CH-STA-L44	CH-STA-L44-L02-ACCE12	24	1000base-t	L02-DIST02_p4	CH-STA-L44-L02-DIST02	4	Switch Dist	USW	1000	USW-1G-L02-DI02_P4	18	
CH-STA-L44	CH-STA-L44-L02-ACCE13	48	1000base-t		CH-STA-L44-L02-DIST02	5	Switch Dist	USW	1000	USW-1G-L02-DI02_P5	18	
CH-STA-L44	CH-STA-L44-L02-ACCE14	24	1000base-t	UPLINK	CH-STA-L44-L02-DIST01	7	Switch Dist	USW	1000	USW-1G-L02-DI01_P7	18	
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:1	10gbase-x-sfpp	LR50-CORE01_tg.3	CH-STA-L50-L01-CORE01	1:23	Switch Core	USW	10000	USW-L50-CO01_P1_23	18	
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:15	extreme-summitstack		CH-STA-L44-L02-CORE01-2	02:16	Switch Core	USW		USW-L02-CO01-2_P2_16	20	stack,at-20
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:16	extreme-summitstack		CH-STA-L44-L02-CORE01-2	02:15	Switch Core	USW		USW-L02-CO01-2_P2_15	20	stack,at-20
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:2	10gbase-x-sfpp	LR44-GFL-DIST01_	CH-STA-L44-GFL-DIST01	29	Switch Dist	USW	10000	USW-GFL-DI01_P29	16	
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:3	10gbase-x-sfpp	LR44-GFL-DIST02_	CH-STA-L44-GFL-DIST02	29	Switch Dist	USW	10000	USW-GFL-DI02_P29	16	
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:4	10gbase-x-sfpp	LR44-L01-DIST01_	CH-STA-L44-L01-DIST01	29	Switch Dist	USW	10000	USW-L01-DI01_P29	16	
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:5	1000base-t	LR44-L01-DIST02_	CH-STA-L44-L01-DIST02	24	Switch Dist	USW	1000	USW-1G-L01-DI02_P24	19	
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:6	10gbase-x-sfpp	LR44-L02-DIST01_	CH-STA-L44-L02-DIST01	29	Switch Dist	USW	10000	USW-L02-DI01_P29	16	
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:7	10gbase-x-sfpp	LR44-L02-DIST02_	CH-STA-L44-L02-DIST02	29	Switch Dist	USW	10000	USW-L02-DI02_P29	16	
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:8	1000base-t	L02-ACCE03_p23	CH-STA-L44-L02-ACCE03	29	Switch Access	USW	1000	USW-1G-L02-AC03_P29	19	
CH-STA-L44	CH-STA-L44-L02-CORE01-1	1:9	1000base-x-sfp	L01-ACCE06_p23	CH-STA-L44-L01-ACCE06	23	Switch Access	USW	1000	USW-1G-L01-AC06_P23	19	
CH-STA-L44	CH-STA-L44-L02-CORE01-2	2:1	10gbase-x-sfpp	LR50-CORE01_tg.7	CH-STA-L50-L01-CORE02	1:23	Switch Core	USW	10000	USW-L50-CO02_P1_23	18	
CH-STA-L44	CH-STA-L44-L02-CORE01-2	2:15	extreme-summitstack		CH-STA-L44-L02-CORE01-1	01:16	Switch Core	USW		USW-L02-CO01-1_P1_16	20	stack,at-20
CH-STA-L44	CH-STA-L44-L02-CORE01-2	2:16	extreme-summitstack		CH-STA-L44-L02-CORE01-1	01:15	Switch Core	USW		USW-L02-CO01-1_P1_15	20	stack,at-20
CH-STA-L44	CH-STA-L44-L02-CORE01-2	2:2	10gbase-x-sfpp	LR44-GFL-DIST01_	CH-STA-L44-GFL-DIST01	30	Switch Dist	USW	10000	USW-GFL-DI01_P30	16	
CH-STA-L44	CH-STA-L44-L02-CORE01-2	2:3	10gbase-x-sfpp	LR44-GFL-DIST02_	CH-STA-L44-GFL-DIST02	30	Switch Dist	USW	10000	USW-GFL-DI02_P30	16	
CH-STA-L44	CH-STA-L44-L02-CORE01-2	2:4	10gbase-x-sfpp	LR44-L01-DIST01_	CH-STA-L44-L01-DIST01	30	Switch Dist	USW	10000	USW-L01-DI01_P30	16	
CH-STA-L44	CH-STA-L44-L02-CORE01-2	2:5	1000base-x-sfp	LR44-L01-DIST02_	CH-STA-L44-L01-DIST02	23	Switch Dist	USW	1000	USW-1G-L01-DI02_P23	19	
CH-STA-L44	CH-STA-L44-L02-CORE01-2	2:6	10gbase-x-sfpp	LR44-L02-DIST01_	CH-STA-L44-L02-DIST01	30	Switch Dist	USW	10000	USW-L02-DI01_P30	16	
CH-STA-L44	CH-STA-L44-L02-CORE01-2	2:7	10gbase-x-sfpp	LR44-L02-DIST02_	CH-STA-L44-L02-DIST02	30	Switch Dist	USW	10000	USW-L02-DI02_P30	16	
CH-STA-L44	CH-STA-L44-L02-CORE01-2	2:8	1000base-x-sfp	L02-ACCE03_p24	CH-STA-L44-L02-ACCE03	30	Switch Access	USW	1000	USW-1G-L02-AC03_P30	19	
CH-STA-L44	CH-STA-L44-L02-DIST01	1	1000base-t	ACCE01_p24	CH-STA-L44-L02-ACCE01	24	Switch Access	USW	1000	USW-1G-L02-AC01_P24	19	
CH-STA-L44	CH-STA-L44-L02-DIST01	2	1000base-t	ACCE05_p48	CH-STA-L44-L02-ACCE05	48	Switch Access	USW	1000	USW-1G-L02-AC05_P48	19	
CH-STA-L44	CH-STA-L44-L02-DIST01	29	10gbase-x-sfpp	L02-CORE01	CH-STA-L44-L02-CORE01-1	01:06	Switch Core	USW	10000	USW-L02-CO01-1_P1_6	19	
CH-STA-L44	CH-STA-L44-L02-DIST01	3	1000base-t	ACCE06_p24	CH-STA-L44-L02-ACCE06	24	Switch Access	USW	1000	USW-1G-L02-AC06_P24	19	
CH-STA-L44	CH-STA-L44-L02-DIST01	30	10gbase-x-sfpp	L02-CORE02	CH-STA-L44-L02-CORE01-2	02:06	Switch Core	USW	10000	USW-L02-CO01-2_P2_6	19	
CH-STA-L44	CH-STA-L44-L02-DIST01	4	1000base-t	ACCE07_p24	CH-STA-L44-L02-ACCE07	24	Switch Access	USW	1000	USW-1G-L02-AC07_P24	19	
CH-STA-L44	CH-STA-L44-L02-DIST01	5	1000base-t	ACCE08_p24	CH-STA-L44-L02-ACCE08	24	Switch Access	USW	1000	USW-1G-L02-AC08_P24	19	
CH-STA-L44	CH-STA-L44-L02-DIST01	6	1000base-t	ACCE09_p24	CH-STA-L44-L02-ACCE09	24	Switch Access	USW	1000	USW-1G-L02-AC09_P24	19	
CH-STA-L44	CH-STA-L44-L02-DIST01	7	1000base-t	ACCE04_p24	CH-STA-L44-L02-ACCE14	24	Switch Access	USW	1000	USW-1G-L02-AC14_P24	19	
CH-STA-L44	CH-STA-L44-L02-DIST02	1	1000base-t	L02-ACCE02_p24	CH-STA-L44-L02-ACCE02	24	Switch Access	USW	1000	USW-1G-L02-AC02_P24	19	
CH-STA-L44	CH-STA-L44-L02-DIST02	2	1000base-t	L02-ACCE10_p24	CH-STA-L44-L02-ACCE10	24	Switch Access	USW	1000	USW-1G-L02-AC10_P24	19	
CH-STA-L44	CH-STA-L44-L02-DIST02	29	10gbase-x-sfpp	L02-CORE01	CH-STA-L44-L02-CORE01-1	01:07	Switch Core	USW	10000	USW-L02-CO01-1_P1_7	19	
CH-STA-L44	CH-STA-L44-L02-DIST02	3	1000base-t	L02-ACCE11_p24	CH-STA-L44-L02-ACCE11	24	Switch Access	USW	1000	USW-1G-L02-AC11_P24	19	
CH-STA-L44	CH-STA-L44-L02-DIST02	30	10gbase-x-sfpp	L02-CORE02	CH-STA-L44-L02-CORE01-2	02:07	Switch Core	USW	10000	USW-L02-CO01-2_P2_7	19	
CH-STA-L44	CH-STA-L44-L02-DIST02	4	1000base-t	L02-ACCE12_p24	CH-STA-L44-L02-ACCE12	24	Switch Access	USW	1000	USW-1G-L02-AC12_P24	19	
CH-STA-L44	CH-STA-L44-L02-DIST02	5	1000base-t	L02-ACCE13_p24	CH-STA-L44-L02-ACCE13	48	Switch Access	USW	1000	USW-1G-L02-AC13_P48	19	
CH-STA-L50	CH-STA-L50-B01-ACCE01	1	1000base-t	B01-ACPO03	CH-STA-L50-B01-ACPO03	mgmt0	Access Point	UP	1000	UP-B01-AP03	11	
CH-STA-L50	CH-STA-L50-B01-ACCE01	21	1000base-t	B01-ACPO04	CH-STA-L50-B01-ACPO04	mgmt0	Access Point	UP	1000	UP-B01-AP04	11	
